Rank,Word,Count,Frequency
1,the,4343,0.055607482618660456
2,and,3025,0.038731898439200524
3,i,2766,0.03541567969680286
4,of,2760,0.035338856096592874
5,to,2169,0.0277717314759094
6,my,1751,0.022419687327947146
7,a,1439,0.01842486011702795
8,in,1183,0.015147053174735279
9,was,1022,0.013085619902434028
10,that,1019,0.013047208102329035
11,me,853,0.010921755163186131
12,with,713,0.009129204491619825
13,had,686,0.008783498290674895
14,but,680,0.00870667469046491
15,you,617,0.007900026888260074
16,he,599,0.00766955608763012
17,which,565,0.007234222353106875
18,it,544,0.006965339752371929
19,not,535,0.006850104352056952
20,his,533,0.00682449648532029
21,as,529,0.006773280751846967
22,for,516,0.0066068296180586674
23,by,484,0.006197103750272084
24,on,469,0.006005044749747122
25,this,436,0.005582514948592208
26,from,400,0.005121573347332301
27,be,371,0.004750259279650709
28,her,371,0.004750259279650709
29,have,369,0.004724651412914047
30,at,328,0.0041996901448124865
31,is,326,0.0041740822780758245
32,when,321,0.004110062611234171
33,were,308,0.0039436114774458715
34,or,255,0.0032650030089243416
35,your,255,0.0032650030089243416
36,she,249,0.0031881794087143572
37,him,220,0.0028168653410327654
38,an,215,0.0027528456741911117
39,all,212,0.002714433874086119
40,if,210,0.002688826007349458
41,so,209,0.002676022073981127
42,they,203,0.0025991984737711426
43,will,200,0.0025607866736661504
44,one,199,0.0025479827402978194
45,could,197,0.002522374873561158
46,are,194,0.0024839630734561657
47,been,190,0.0024327473399828425
48,their,184,0.002355923739772858
49,would,183,0.0023431198064045276
50,we,180,0.002304708006299535
51,no,177,0.002266296206194543
52,who,174,0.0022278844060895507
53,more,165,0.002112649005774574
54,should,154,0.0019718057387229358
55,these,151,0.0019333939386179434
56,now,151,0.0019333939386179434
57,before,149,0.001907786071881282
58,yet,149,0.001907786071881282
59,some,146,0.0018693742717762897
60,myself,135,0.0017285310047246514
61,our,130,0.0016645113378829977
62,man,129,0.0016517074045146669
63,upon,128,0.001638903471146336
64,its,126,0.0016132956044096747
65,what,126,0.0016132956044096747
66,only,125,0.001600491671041344
67,them,125,0.001600491671041344
68,am,124,0.0015876877376730131
69,into,124,0.0015876877376730131
70,do,121,0.001549275937568021
71,any,121,0.001549275937568021
72,did,119,0.0015236680708313594
73,may,113,0.0014468444706213749
74,than,113,0.0014468444706213749
75,life,112,0.001434040537253044
76,father,109,0.001395628737148052
77,first,108,0.0013828248037797211
78,might,108,0.0013828248037797211
79,then,108,0.0013828248037797211
80,every,106,0.0013572169370430595
81,shall,106,0.0013572169370430595
82,own,106,0.0013572169370430595
83,eyes,104,0.0013316090703063982
84,can,102,0.0013060012035697366
85,said,102,0.0013060012035697366
86,time,97,0.0012419815367280828
87,even,96,0.001229177603359752
88,being,95,0.0012163736699914213
89,most,94,0.0012035697366230907
90,towards,94,0.0012035697366230907
91,saw,94,0.0012035697366230907
92,those,92,0.001177961869886429
93,other,91,0.0011651579365180983
94,such,90,0.0011523540031497675
95,found,89,0.001139550069781437
96,mind,85,0.0010883343363081138
97,how,85,0.0010883343363081138
98,night,84,0.0010755304029397832
99,project,83,0.0010627264695714524
100,again,82,0.0010499225362031216
101,where,81,0.0010371186028347908
102,whom,81,0.0010371186028347908
103,elizabeth,81,0.0010371186028347908
104,day,80,0.00102431466946646
105,felt,79,0.0010115107360981293
106,ever,78,0.0009987068027297987
107,there,78,0.0009987068027297987
108,work,78,0.0009987068027297987
109,heart,76,0.0009730989359931371
110,feelings,76,0.0009730989359931371
111,after,76,0.0009730989359931371
112,death,75,0.0009602950026248063
113,must,74,0.0009474910692564756
114,thought,74,0.0009474910692564756
115,very,74,0.0009474910692564756
116,up,73,0.0009346871358881448
117,“i,71,0.0009090792691514834
118,many,70,0.0008962753357831526
119,made,70,0.0008962753357831526
120,dear,68,0.0008706674690464911
121,also,68,0.0008706674690464911
122,soon,68,0.0008706674690464911
123,friend,68,0.0008706674690464911
124,still,68,0.0008706674690464911
125,passed,67,0.0008578635356781603
126,while,67,0.0008578635356781603
127,never,66,0.0008450596023098296
128,during,66,0.0008450596023098296
129,has,65,0.0008322556689414988
130,miserable,64,0.000819451735573168
131,same,63,0.0008066478022048374
132,heard,62,0.0007938438688365066
133,few,62,0.0007938438688365066
134,became,61,0.0007810399354681759
135,about,61,0.0007810399354681759
136,like,61,0.0007810399354681759
137,us,61,0.0007810399354681759
138,thus,61,0.0007810399354681759
139,sometimes,60,0.0007682360020998451
140,place,59,0.0007554320687315143
141,human,58,0.0007426281353631836
142,over,57,0.0007298242019948528
143,love,57,0.0007298242019948528
144,appeared,57,0.0007298242019948528
145,little,56,0.000717020268626522
146,indeed,56,0.000717020268626522
147,gutenberg™,56,0.000717020268626522
148,country,55,0.0007042163352581913
149,often,55,0.0007042163352581913
150,clerval,54,0.0006914124018898606
151,see,53,0.0006786084685215298
152,although,53,0.0006786084685215298
153,misery,53,0.0006786084685215298
154,away,52,0.0006658045351531991
155,until,52,0.0006658045351531991
156,words,52,0.0006658045351531991
157,among,51,0.0006530006017848683
158,nature,51,0.0006530006017848683
159,old,51,0.0006530006017848683
160,hope,51,0.0006530006017848683
161,friends,51,0.0006530006017848683
162,cottage,51,0.0006530006017848683
163,cannot,50,0.0006401966684165376
164,whose,50,0.0006401966684165376
165,several,50,0.0006401966684165376
166,return,50,0.0006401966684165376
167,days,50,0.0006401966684165376
168,justine,50,0.0006401966684165376
169,through,49,0.0006273927350482068
170,great,49,0.0006273927350482068
171,happiness,49,0.0006273927350482068
172,chapter,48,0.000614588801679876
173,feel,48,0.000614588801679876
174,know,48,0.000614588801679876
175,despair,48,0.000614588801679876
176,long,47,0.0006017848683115453
177,world,46,0.0005889809349432146
178,voice,46,0.0005889809349432146
179,felix,46,0.0005889809349432146
180,sun,45,0.0005761770015748838
181,years,45,0.0005761770015748838
182,another,45,0.0005761770015748838
183,happy,45,0.0005761770015748838
184,much,44,0.0005633730682065531
185,men,44,0.0005633730682065531
186,alone,44,0.0005633730682065531
187,scene,44,0.0005633730682065531
188,part,43,0.0005505691348382223
189,poor,43,0.0005505691348382223
190,horror,43,0.0005505691348382223
191,well,42,0.0005377652014698916
192,new,42,0.0005377652014698916
193,came,42,0.0005377652014698916
194,light,41,0.0005249612681015608
195,creature,41,0.0005249612681015608
196,almost,40,0.00051215733473323
197,joy,40,0.00051215733473323
198,affection,40,0.00051215733473323
199,out,40,0.00051215733473323
200,works,40,0.00051215733473323
201,far,39,0.0004993534013648993
202,ice,39,0.0004993534013648993
203,make,39,0.0004993534013648993
204,without,38,0.00048654946799656855
205,power,38,0.00048654946799656855
206,fear,38,0.00048654946799656855
207,months,38,0.00048654946799656855
208,nothing,38,0.00048654946799656855
209,thoughts,38,0.00048654946799656855
210,two,38,0.00048654946799656855
211,countenance,38,0.00048654946799656855
212,entered,38,0.00048654946799656855
213,near,37,0.0004737455346282378
214,possessed,37,0.0004737455346282378
215,himself,37,0.0004737455346282378
216,therefore,37,0.0004737455346282378
217,morning,37,0.0004737455346282378
218,house,37,0.0004737455346282378
219,moment,37,0.0004737455346282378
220,soul,36,0.000460941601259907
221,seemed,36,0.000460941601259907
222,earth,36,0.000460941601259907
223,hands,36,0.000460941601259907
224,pleasure,36,0.000460941601259907
225,took,36,0.000460941601259907
226,mountains,36,0.000460941601259907
227,journey,36,0.000460941601259907
228,good,35,0.0004481376678915763
229,nor,35,0.0004481376678915763
230,within,35,0.0004481376678915763
231,cause,35,0.0004481376678915763
232,left,35,0.0004481376678915763
233,hours,34,0.00043533373452324555
234,down,34,0.00043533373452324555
235,gentle,34,0.00043533373452324555
236,come,34,0.00043533373452324555
237,spirit,34,0.00043533373452324555
238,around,34,0.00043533373452324555
239,already,33,0.0004225298011549148
240,become,33,0.0004225298011549148
241,discovered,33,0.0004225298011549148
242,taken,33,0.0004225298011549148
243,kind,33,0.0004225298011549148
244,“the,33,0.0004225298011549148
245,however,33,0.0004225298011549148
246,lost,33,0.0004225298011549148
247,geneva,33,0.0004225298011549148
248,idea,33,0.0004225298011549148
249,letter,32,0.000409725867786584
250,here,32,0.000409725867786584
251,sea,32,0.000409725867786584
252,child,32,0.000409725867786584
253,last,32,0.000409725867786584
254,whole,32,0.000409725867786584
255,resolved,32,0.000409725867786584
256,once,32,0.000409725867786584
257,strange,32,0.000409725867786584
258,rest,32,0.000409725867786584
259,remained,32,0.000409725867786584
260,knowledge,32,0.000409725867786584
261,tale,32,0.000409725867786584
262,knew,32,0.000409725867786584
263,continued,32,0.000409725867786584
264,gave,32,0.000409725867786584
265,under,31,0.0003969219344182533
266,cold,31,0.0003969219344182533
267,read,31,0.0003969219344182533
268,spirits,31,0.0003969219344182533
269,manner,31,0.0003969219344182533
270,tears,31,0.0003969219344182533
271,returned,31,0.0003969219344182533
272,sensations,31,0.0003969219344182533
273,nearly,31,0.0003969219344182533
274,beheld,31,0.0003969219344182533
275,existence,31,0.0003969219344182533
276,believe,31,0.0003969219344182533
277,peace,31,0.0003969219344182533
278,family,31,0.0003969219344182533
279,mother,31,0.0003969219344182533
280,room,31,0.0003969219344182533
281,terms,30,0.00038411800104992254
282,delight,30,0.00038411800104992254
283,present,30,0.00038411800104992254
284,too,30,0.00038411800104992254
285,young,30,0.00038411800104992254
286,why,30,0.00038411800104992254
287,appearance,30,0.00038411800104992254
288,form,30,0.00038411800104992254
289,companion,30,0.00038411800104992254
290,full,30,0.00038411800104992254
291,arrived,29,0.0003713140676815918
292,think,29,0.0003713140676815918
293,loved,29,0.0003713140676815918
294,change,29,0.0003713140676815918
295,state,29,0.0003713140676815918
296,looked,29,0.0003713140676815918
297,monster,29,0.0003713140676815918
298,fiend,29,0.0003713140676815918
299,native,28,0.000358510134313261
300,began,28,0.000358510134313261
301,placed,28,0.000358510134313261
302,lay,28,0.000358510134313261
303,brought,28,0.000358510134313261
304,grief,28,0.000358510134313261
305,endeavoured,28,0.000358510134313261
306,each,28,0.000358510134313261
307,lake,28,0.000358510134313261
