Rank,Word,Count,Frequency
1,the,14535,0.06734217329663915
2,of,6712,0.03109739712191551
3,and,6407,0.02968430026223371
4,a,4668,0.021627331609818477
5,to,4654,0.021562468147406852
6,in,4190,0.019412707678907327
7,that,2918,0.013519398808365533
8,his,2516,0.011656890816260344
9,it,2324,0.010767334760329506
10,i,1845,0.008548077724960386
11,with,1764,0.008172796263864565
12,but,1741,0.008066234861331184
13,as,1726,0.007996738294461587
14,is,1718,0.007959673458797802
15,he,1717,0.007955040354339828
16,was,1637,0.00758439199770198
17,for,1614,0.007477830595168599
18,all,1468,0.006801397344304525
19,this,1397,0.0064724469277884335
20,at,1320,0.006115697884524505
21,by,1219,0.00564775433426922
22,not,1144,0.005300271499921237
23,from,1103,0.005110314217144339
24,be,1051,0.004869392785329738
25,on,1045,0.0048415941585819
26,so,1031,0.004776730696170276
27,him,1014,0.004697967920384733
28,whale,928,0.0042995209369990454
29,you,919,0.004257822996877288
30,one,885,0.004100297445306202
31,or,792,0.0036694187307147025
32,had,776,0.003595289059387133
33,have,769,0.003562857328181321
34,now,730,0.0033821662543203697
35,there,720,0.003335835209740639
36,were,680,0.0031505110314217146
37,they,654,0.0030300503155144135
38,which,644,0.0029837192709346824
39,their,619,0.002867891659485355
40,are,613,0.002840093032737516
41,some,611,0.00283082682382157
42,then,598,0.0027705964658679195
43,me,596,0.0027613302569519734
44,when,593,0.0027474309435780537
45,an,593,0.0027474309435780537
46,my,575,0.002664035063334538
47,like,571,0.0026455026455026454
48,upon,564,0.002613070914296834
49,no,549,0.002543574347427237
50,into,522,0.0024184805270619633
51,out,512,0.002372149482482232
52,up,505,0.0023397177512764203
53,more,502,0.002325818437902501
54,what,492,0.00227948739332277
55,if,486,0.002251688766574931
56,them,455,0.0021080625283777647
57,old,441,0.0020431990659661413
58,we,439,0.002033932857050195
59,would,427,0.001978335603554518
60,other,415,0.0019227383500588404
61,been,415,0.0019227383500588404
62,man,413,0.0019134721411428943
63,ahab,409,0.0018949397233110018
64,over,402,0.0018625079921051901
65,these,398,0.0018439755742732976
66,ye,396,0.0018347093653573513
67,will,391,0.0018115438430674857
68,its,376,0.0017420472761978893
69,ship,372,0.0017235148583659968
70,such,372,0.0017235148583659968
71,only,370,0.0017142486494500504
72,sea,367,0.0017003493360761312
73,though,360,0.0016679176048703195
74,any,357,0.0016540182914964
75,down,356,0.001649385187038427
76,yet,335,0.0015520899934209917
77,who,328,0.0015196582622151798
78,her,321,0.0014872265310093681
79,time,319,0.001477960322093422
80,very,314,0.0014547947998035564
81,long,312,0.00144552859088761
82,about,312,0.00144552859088761
83,than,310,0.001436262381971664
84,chapter,308,0.0014269961730557178
85,still,307,0.0014223630685977445
86,those,305,0.0014130968596817984
87,great,304,0.0014084637552238253
88,do,300,0.0013899313373919328
89,before,296,0.0013713989195600403
90,said,294,0.0013621327106440942
91,must,291,0.0013482333972701748
92,has,290,0.0013436002928122017
93,most,285,0.0013204347705223361
94,two,281,0.0013019023526904437
95,seemed,281,0.0013019023526904437
96,captain,280,0.0012972692482324706
97,last,272,0.0012602044125686858
98,here,269,0.0012463050991947664
99,whales,264,0.0012231395769049008
100,head,263,0.0012185064724469278
101,after,261,0.0012092402635309816
102,your,256,0.001186074741241116
103,see,253,0.0011721754278671967
104,way,249,0.0011536430100353042
105,white,249,0.0011536430100353042
106,little,248,0.001149009905577331
107,may,247,0.001144376801119358
108,did,247,0.001144376801119358
109,thou,245,0.001135110592203412
110,round,242,0.0011212112788294925
111,again,242,0.0011212112788294925
112,while,242,0.0011212112788294925
113,boat,241,0.0011165781743715194
114,sperm,240,0.0011119450699135463
115,first,234,0.0010841464431657077
116,three,234,0.0010841464431657077
117,through,230,0.0010656140253338152
118,how,229,0.0010609809208758422
119,every,226,0.0010470816075019227
120,us,221,0.0010239160852120572
121,much,219,0.001014649876296111
122,stubb,218,0.0010100167718381378
123,being,218,0.0010100167718381378
124,could,215,0.0009961174584642186
125,say,213,0.0009868512495482724
126,our,209,0.0009683188317163799
127,men,209,0.0009683188317163799
128,same,209,0.0009683188317163799
129,own,204,0.0009451533094265144
130,can,201,0.0009312539960525951
131,off,201,0.0009312539960525951
132,where,199,0.0009219877871366488
133,never,198,0.0009173546826786756
134,himself,197,0.0009127215782207026
135,almost,195,0.0009034553693047563
136,well,194,0.0008988222648467833
137,hand,193,0.0008941891603888101
138,queequeg,193,0.0008941891603888101
139,ever,191,0.0008849229514728639
140,even,187,0.0008663905336409714
141,good,187,0.0008663905336409714
142,side,185,0.0008571243247250252
143,should,183,0.0008478581158090791
144,might,182,0.0008432250113511059
145,thing,181,0.0008385919068931328
146,made,176,0.0008154263846032673
147,go,175,0.0008107932801452942
148,too,173,0.000801527071229348
149,away,169,0.0007829946533974555
150,many,167,0.0007737284444815093
151,among,167,0.0007737284444815093
152,without,161,0.0007459298177336706
153,water,161,0.0007459298177336706
154,starbuck,160,0.0007412967132756975
155,far,159,0.0007366636088177245
