Rank,Word,Count,Frequency
1,the,4807,0.03686067019400353
2,to,4349,0.03334866958055364
3,of,3945,0.03025074764205199
4,and,3692,0.028310712368683384
5,her,2251,0.017260946246453492
6,a,2063,0.015819339007744807
7,in,2018,0.015474273445287939
8,was,1869,0.014331723027375202
9,i,1797,0.013779618127444214
10,she,1721,0.013196840733072618
11,that,1572,0.01205429031515988
12,not,1505,0.011540526033279656
13,it,1480,0.011348822943025841
14,he,1326,0.010167931907062342
15,his,1291,0.009899547580707001
16,you,1290,0.00989187945709685
17,be,1271,0.00974618510850395
18,as,1224,0.009385783298826778
19,had,1182,0.009063722107200368
20,with,1136,0.008710988421133348
21,for,1094,0.00838892722950694
22,but,940,0.00720803619354344
23,is,920,0.007054673721340388
24,have,881,0.006755616900544437
25,at,822,0.006303197607545433
26,mr,790,0.0060578176520205505
27,on,736,0.005643738977072311
28,him,725,0.005559389617360632
29,by,712,0.0054597040104286485
30,my,672,0.0051529790660225444
31,all,640,0.004907599110497661
32,elizabeth,599,0.0045932060424814045
33,they,596,0.004570201671650947
34,so,593,0.004547197300820489
35,were,566,0.0043401579633463696
36,which,565,0.0043324898397362165
37,been,534,0.004094778007821486
38,could,529,0.004056437389770723
39,from,519,0.003979756153669197
40,very,492,0.003772716816195077
41,would,481,0.0036883674564833985
42,no,478,0.0036653630856529405
43,this,470,0.00360401809677172
44,their,453,0.003473659995399126
45,what,452,0.0034659918717889733
46,your,443,0.0033969787592975998
47,me,425,0.003258952534314853
48,will,423,0.003243616287094548
49,them,420,0.00322061191626409
50,said,405,0.003105590062111801
51,such,398,0.0030519131968407332
52,or,397,0.0030442450732305806
53,are,380,0.0029138869718579865
54,an,378,0.002898550724637681
55,when,370,0.0028372057357564603
56,darcy,358,0.002745188252434629
57,there,347,0.0026608388927229507
58,mrs,347,0.0026608388927229507
59,if,341,0.002614830151062035
60,do,339,0.00259949390384173
61,more,335,0.0025688214094011196
62,much,330,0.0025304807913503567
63,must,323,0.0024768039260792884
64,am,322,0.0024691358024691358
65,any,319,0.002446131431638678
66,miss,304,0.002331109577486389
67,than,301,0.0023081052066559315
68,“i,299,0.002292768959435626
69,who,297,0.002277432712215321
70,bennet,290,0.0022237558469442526
71,one,280,0.0021470746108427268
72,did,263,0.0020167165094701327
73,jane,262,0.00200904838585998
74,should,256,0.0019630396441990645
75,we,253,0.0019400352733686067
76,has,251,0.0019246990261483016
77,bingley,246,0.0018863584080975385
78,know,238,0.0018250134192163178
79,other,234,0.0017943409247757074
80,herself,231,0.0017713365539452496
81,never,229,0.0017560003067249445
82,though,228,0.0017483321831147918
83,before,227,0.0017406640595046391
84,only,222,0.0017023234414538762
85,can,217,0.0016639828234031133
86,think,216,0.0016563146997929607
87,soon,214,0.0016409784525726555
88,may,213,0.0016333103289625029
89,some,210,0.001610305958132045
90,how,207,0.0015873015873015873
91,most,204,0.0015642972164711295
92,might,203,0.0015566290928609768
93,after,202,0.0015489609692508244
94,now,201,0.0015412928456406717
95,time,198,0.001518288474810214
96,own,193,0.001479947856759451
97,little,189,0.0014492753623188406
98,well,186,0.0014262709914883828
99,every,185,0.0014186028678782301
100,nothing,182,0.0013955984970477724
101,being,182,0.0013955984970477724
102,without,181,0.00138793037343762
103,lady,179,0.0013725941262173146
104,make,174,0.0013342535081665517
105,sister,172,0.0013189172609462466
106,again,168,0.0012882447665056361
107,then,164,0.0012575722720650257
108,illustration,163,0.001249904148454873
109,wickham,161,0.0012345679012345679
110,shall,161,0.0012345679012345679
111,collins,160,0.0012268997776244152
112,good,160,0.0012268997776244152
113,first,159,0.0012192316540142628
114,see,155,0.0011885591595736523
115,say,151,0.0011578866651330419
116,great,146,0.001119546047082279
117,dear,146,0.001119546047082279
118,family,146,0.001119546047082279
119,too,144,0.0011042097998619738
120,into,144,0.0011042097998619738
121,two,143,0.0010965416762518212
122,man,141,0.001081205429031516
123,however,136,0.001042864810980753
124,out,132,0.0010121923165401427
125,give,131,0.00100452419292999
126,about,131,0.00100452419292999
127,made,131,0.00100452419292999
128,young,131,0.00100452419292999
129,ever,128,0.0009815198220995323
130,lydia,126,0.000966183574879227
131,its,125,0.0009585154512690745
132,day,125,0.0009585154512690745
133,always,124,0.0009508473276589219
134,himself,122,0.0009355110804386167
135,hope,122,0.0009355110804386167
136,many,121,0.0009278429568284641
137,us,120,0.0009201748332183115
138,cannot,117,0.0008971704623878537
139,away,116,0.0008895023387777011
140,long,116,0.0008895023387777011
141,last,116,0.0008895023387777011
142,catherine,114,0.0008741660915573959
143,thought,112,0.0008588298443370907
144,up,111,0.0008511617207269381
145,letter,111,0.0008511617207269381
146,father,111,0.0008511617207269381
147,enough,110,0.0008434935971167856
148,way,109,0.0008358254735066329
149,felt,106,0.0008128211026761751
150,mother,106,0.0008128211026761751
151,room,106,0.0008128211026761751
152,house,104,0.00079748485545587
153,replied,103,0.0007898167318457173
154,friend,102,0.0007821486082355648
155,go,101,0.0007744804846254122
156,saw,101,0.0007744804846254122
157,wish,99,0.000759144237405107
158,quite,98,0.0007514761137949544
159,even,96,0.0007361398665746492
160,where,95,0.0007284717429644966
161,till,95,0.0007284717429644966
162,sure,95,0.0007284717429644966
163,love,93,0.0007131354957441914
164,having,93,0.0007131354957441914
165,over,92,0.0007054673721340388
166,came,92,0.0007054673721340388
167,often,92,0.0007054673721340388
168,“you,92,0.0007054673721340388
169,“and,92,0.0007054673721340388
170,better,91,0.0006977992485238862
171,come,91,0.0006977992485238862
172,cried,91,0.0006977992485238862
173,manner,90,0.0006901311249137336
174,pleasure,90,0.0006901311249137336
175,really,89,0.0006824630013035811
176,whom,89,0.0006824630013035811
177,chapter,89,0.0006824630013035811
178,feelings,88,0.0006747948776934284
179,does,87,0.0006671267540832758
180,like,87,0.0006671267540832758
181,myself,87,0.0006671267540832758
182,heard,87,0.0006671267540832758
183,believe,86,0.0006594586304731233
184,done,86,0.0006594586304731233
185,longbourn,85,0.0006517905068629706
186,project,84,0.0006441223832528181
187,subject,84,0.0006441223832528181
188,“but,83,0.0006364542596426654
189,take,81,0.0006211180124223603
190,less,81,0.0006211180124223603
191,gardiner,81,0.0006211180124223603
192,whole,80,0.0006134498888122076
193,our,79,0.000605781765202055
194,anything,79,0.000605781765202055
195,down,79,0.000605781765202055
196,while,78,0.0005981136415919025
197,happy,77,0.0005904455179817498
198,these,76,0.0005827773943715973
199,just,76,0.0005827773943715973
200,still,76,0.0005827773943715973
201,daughter,76,0.0005827773943715973
202,yet,75,0.0005751092707614447
203,ladies,75,0.0005751092707614447
204,looked,75,0.0005751092707614447
205,morning,75,0.0005751092707614447
206,aunt,75,0.0005751092707614447
207,perhaps,74,0.000567441147151292
208,seen,74,0.000567441147151292
209,something,74,0.000567441147151292
210,same,73,0.0005597730235411395
211,few,73,0.0005597730235411395
212,added,72,0.0005521048999309869
213,therefore,72,0.0005521048999309869
214,least,71,0.0005444367763208343
215,present,71,0.0005444367763208343
216,told,71,0.0005444367763208343
217,next,71,0.0005444367763208343
218,nor,71,0.0005444367763208343
219,world,70,0.0005367686527106817
220,place,70,0.0005367686527106817
221,netherfield,70,0.0005367686527106817
222,evening,70,0.0005367686527106817
223,towards,70,0.0005367686527106817
224,sisters,70,0.0005367686527106817
225,attention,70,0.0005367686527106817
226,found,69,0.0005291005291005291
227,kind,69,0.0005291005291005291
228,both,69,0.0005291005291005291
229,went,69,0.0005291005291005291
230,charlotte,69,0.0005291005291005291
231,hear,69,0.0005291005291005291
232,speak,69,0.0005291005291005291
233,happiness,69,0.0005291005291005291
234,indeed,68,0.0005214324054903765
235,certainly,68,0.0005214324054903765
236,between,67,0.0005137642818802239
237,work,67,0.0005137642818802239
