Rank,Word,Count,Frequency
1,και,1055,0.028859042043931395
2,να,866,0.023689033564023305
3,το,827,0.022622206417375605
4,την,787,0.02152802472850617
5,μου,747,0.02043384303963673
6,του,636,0.017397488853024043
7,ο,616,0.016850398008589326
8,τον,492,0.013458434773094071
9,της,456,0.012473671253111579
10,τα,442,0.012090707662007276
11,η,438,0.011981289493120332
12,σου,432,0.011817162239789918
13,δεν,388,0.010613562382033537
14,θα,317,0.008671389884290287
15,εις,297,0.008124299039855568
16,με,270,0.0073857263998686985
17,κ,259,0.007084826435429603
18,που,222,0.006072708373225374
19,—,220,0.0060179992887819025
20,είναι,216,0.005908581119894959
21,the,194,0.005306781191016768
22,των,191,0.0052247175643515605
23,τι,188,0.005142653937686353
24,ρωμαιος,176,0.004814399431025522
25,ς,163,0.004458790382142955
26,ω,155,0.004239954044369067
27,‘ς,154,0.0042125995021473316
28,μ,150,0.004103181333260388
29,αν,148,0.004048472248816916
30,εδώ,134,0.003665508657712613
31,ιουλιετα,132,0.0036107995732691414
32,of,129,0.0035287359466039336
33,κι,114,0.0031184178132778947
34,ή,113,0.003091063271056159
35,εγώ,110,0.0030089996443909512
36,οι,109,0.002981645102169215
37,εν,109,0.002981645102169215
38,τους,108,0.0029542905599474795
39,απ,104,0.0028448723910605355
40,παραμανα,102,0.002790163306617064
41,είν,101,0.0027628087643953277
42,μας,99,0.002708099679951856
43,από,95,0.0025986815110649124
44,ως,94,0.0025713269688431763
45,μη,91,0.0024892633421779685
46,σ,91,0.0024892633421779685
47,τ,86,0.002352490631069289
48,project,84,0.002297781546625817
49,ν,84,0.002297781546625817
50,to,83,0.0022704270044040815
51,σε,83,0.0022704270044040815
52,or,77,0.0021062997510736658
53,εκεί,77,0.0021062997510736658
54,δε,75,0.002051590666630194
55,you,74,0.002024236124408458
56,διά,74,0.002024236124408458
57,μπεμβολιος,69,0.0018874634132997783
58,αυτό,69,0.0018874634132997783
59,and,68,0.0018601088710780425
60,τώρα,67,0.0018327543288563066
61,αλλά,66,0.0018053997866345707
62,σας,66,0.0018053997866345707
63,ρωμαίος,65,0.0017780452444128348
64,ότι,65,0.0017780452444128348
65,καπουλετος,64,0.0017506907021910987
66,οπού,64,0.0017506907021910987
67,ας,64,0.0017506907021910987
68,in,63,0.0017233361599693629
69,προς,62,0.001695981617747627
70,λαυρεντιος,61,0.001668627075525891
71,a,60,0.0016412725333041552
72,μερκουτιος,59,0.0016139179910824193
73,κι’,59,0.0016139179910824193
74,α,56,0.0015318543644172115
75,gutenberg™,56,0.0015318543644172115
76,κατά,55,0.0015044998221954756
77,εάν,54,0.0014771452799737397
78,αυτού,53,0.0014497907377520036
79,ένα,53,0.0014497907377520036
80,καπουλεταινα,53,0.0014497907377520036
81,συ,51,0.001395081653308532
82,πού,50,0.001367727111086796
83,with,49,0.0013403725688650601
84,τας,49,0.0013403725688650601
85,αλλ,49,0.0013403725688650601
86,this,45,0.0012309543999781164
87,λοιπόν,45,0.0012309543999781164
88,πώς,45,0.0012309543999781164
89,νύκτα,45,0.0012309543999781164
90,work,45,0.0012309543999781164
91,δύο,44,0.0012035998577563805
92,τούτο,44,0.0012035998577563805
93,σαν,44,0.0012035998577563805
94,παραμάνα,44,0.0012035998577563805
95,ιουλιέτα,43,0.0011762453155346444
96,έχει,43,0.0011762453155346444
97,αυτός,43,0.0011762453155346444
98,επί,41,0.0011215362310911727
99,έλα,41,0.0011215362310911727
100,διότι,41,0.0011215362310911727
101,τόσον,41,0.0011215362310911727
102,ακόμη,41,0.0011215362310911727
103,ταις,41,0.0011215362310911727
104,εκ,40,0.0010941816888694368
105,όχι,39,0.001066827146647701
106,εισέρχεται,39,0.001066827146647701
107,έχω,39,0.001066827146647701
108,πλην,38,0.0010394726044259648
109,any,37,0.001012118062204229
110,αι,36,0.000984763519982493
111,θέλω,36,0.000984763519982493
112,περί,35,0.0009574089777607572
113,τω,35,0.0009574089777607572
114,χέρι,35,0.0009574089777607572
115,αμέσως,35,0.0009574089777607572
116,πως,35,0.0009574089777607572
117,ρωμαίε,35,0.0009574089777607572
118,εσύ,35,0.0009574089777607572
119,είσαι,34,0.0009300544355390212
120,πάτερ,34,0.0009300544355390212
121,μάτια,33,0.0009026998933172853
122,,32,0.0008753453510955494
123,ποτέ,32,0.0008753453510955494
124,μαζή,32,0.0008753453510955494
125,ειπέ,32,0.0008753453510955494
126,ήναι,32,0.0008753453510955494
127,works,32,0.0008753453510955494
128,μόνον,31,0.0008479908088738135
129,υπό,31,0.0008479908088738135
130,αγάπη,31,0.0008479908088738135
131,by,30,0.0008206362666520776
132,αυτά,30,0.0008206362666520776
133,ήτο,30,0.0008206362666520776
134,καθώς,30,0.0008206362666520776
135,λόγια,30,0.0008206362666520776
