Rank,Word,Count,Frequency
1,the,874,0.03013793103448276
2,and,803,0.027689655172413792
3,to,623,0.021482758620689654
4,i,580,0.02
5,a,541,0.018655172413793105
6,of,518,0.01786206896551724
7,in,393,0.013551724137931034
8,is,366,0.012620689655172414
9,you,362,0.012482758620689656
10,that,361,0.012448275862068965
11,my,355,0.012241379310344828
12,romeo,302,0.010413793103448275
13,with,299,0.010310344827586207
14,not,287,0.009896551724137932
15,thou,277,0.009551724137931034
16,this,265,0.009137931034482759
17,me,263,0.00906896551724138
18,for,249,0.008586206896551724
19,it,241,0.008310344827586207
20,be,227,0.007827586206896551
21,but,185,0.006379310344827587
22,juliet,182,0.006275862068965517
23,thy,170,0.0058620689655172415
24,as,166,0.005724137931034483
25,what,162,0.005586206896551724
26,will,156,0.005379310344827587
27,her,154,0.005310344827586207
28,o,149,0.005137931034482759
29,so,149,0.005137931034482759
30,nurse,146,0.0050344827586206896
31,or,144,0.004965517241379311
32,capulet,141,0.0048620689655172415
33,by,140,0.004827586206896552
34,love,136,0.004689655172413793
35,thee,135,0.004655172413793103
36,his,134,0.004620689655172414
37,have,133,0.004586206896551724
38,he,124,0.004275862068965517
39,shall,112,0.0038620689655172414
40,your,112,0.0038620689655172414
41,all,112,0.0038620689655172414
42,no,111,0.0038275862068965515
43,lady,109,0.0037586206896551722
44,she,108,0.0037241379310344828
45,if,106,0.0036551724137931034
46,do,105,0.003620689655172414
47,friar,104,0.003586206896551724
48,from,101,0.0034827586206896553
49,him,97,0.0033448275862068967
50,come,95,0.0032758620689655174
51,on,92,0.003172413793103448
52,are,89,0.0030689655172413794
53,project,84,0.002896551724137931
54,at,83,0.0028620689655172414
55,mercutio,83,0.0028620689655172414
56,then,83,0.0028620689655172414
57,now,81,0.002793103448275862
58,good,80,0.002758620689655172
59,benvolio,79,0.0027241379310344828
60,here,79,0.0027241379310344828
61,an,76,0.002620689655172414
62,enter,75,0.002586206896551724
63,we,75,0.002586206896551724
64,go,75,0.002586206896551724
65,i’ll,71,0.0024482758620689654
66,tybalt,69,0.002379310344827586
67,death,69,0.002379310344827586
68,which,69,0.002379310344827586
69,night,68,0.0023448275862068967
70,lawrence,67,0.002310344827586207
71,more,67,0.002310344827586207
72,man,65,0.0022413793103448275
73,our,64,0.002206896551724138
74,hath,64,0.002206896551724138
75,there,64,0.002206896551724138
76,may,63,0.002172413793103448
77,how,62,0.0021379310344827587
78,one,61,0.002103448275862069
79,they,60,0.0020689655172413794
80,am,60,0.0020689655172413794
81,up,59,0.0020344827586206895
82,paris,58,0.002
83,well,58,0.002
84,some,58,0.002
85,sir,57,0.00196551724137931
86,too,56,0.0019310344827586207
87,gutenberg™,56,0.0019310344827586207
88,where,55,0.001896551724137931
89,art,55,0.001896551724137931
90,out,54,0.0018620689655172414
91,would,54,0.0018620689655172414
92,any,53,0.0018275862068965517
93,when,53,0.0018275862068965517
94,say,52,0.001793103448275862
95,such,52,0.001793103448275862
96,give,51,0.0017586206896551724
97,scene,51,0.0017586206896551724
98,should,51,0.0017586206896551724
99,was,51,0.0017586206896551724
100,must,50,0.0017241379310344827
101,than,50,0.0017241379310344827
102,can,49,0.001689655172413793
103,work,49,0.001689655172413793
104,their,47,0.0016206896551724137
105,doth,47,0.0016206896551724137
106,yet,47,0.0016206896551724137
107,dead,47,0.0016206896551724137
108,montague,45,0.0015517241379310344
109,these,45,0.0015517241379310344
110,day,45,0.0015517241379310344
111,fair,44,0.0015172413793103448
112,let,44,0.0015172413793103448
