Rank,Word,Count,Frequency
1,ich,518,0.021494667828540603
2,und,466,0.019336901946138844
3,der,391,0.01622473961575169
4,die,344,0.01427445122204241
5,romeo,258,0.010705838416531806
6,zu,257,0.01066434291879331
7,sie,255,0.01058135192331632
8,ist,254,0.010539856425577825
9,nicht,251,0.010415369932362339
10,ein,240,0.00995891945723889
11,du,237,0.009834432964023403
12,in,235,0.009751441968546413
13,so,217,0.009004523009253496
14,the,190,0.007884144570314121
15,das,187,0.007759658077098635
16,ihr,185,0.007676667081621644
17,auf,162,0.00672227063363625
18,er,160,0.0066392796381592595
19,mir,156,0.006473297647205278
20,wie,156,0.006473297647205278
21,mein,152,0.006307315656251296
22,den,150,0.006224324660774306
23,mit,145,0.006016847172081829
24,julia,143,0.005933856176604839
25,mich,143,0.005933856176604839
26,von,136,0.005643387692435371
27,capulet,128,0.005311423710527408
28,of,125,0.005186937217311922
29,was,119,0.004937964230880949
30,euch,107,0.004440018258019005
31,es,104,0.004315531764803519
32,wärterin,103,0.004274036267065023
33,o,102,0.004232540769326528
34,dem,100,0.004149549773849537
35,doch,100,0.004149549773849537
36,des,94,0.003900576787418565
37,ihn,93,0.0038590812896800697
38,will,92,0.0038175857919415745
39,daß,91,0.003776090294203079
40,sich,87,0.0036101083032490976
41,nur,86,0.0035686128055106023
42,project,85,0.0035271173077721066
43,to,85,0.0035271173077721066
44,dich,83,0.003444126312295116
45,hier,82,0.0034026308145566207
46,als,80,0.0033196398190796297
47,or,78,0.003236648823602639
48,mercutio,77,0.003195153325864144
49,you,74,0.0030706668326486576
50,nun,74,0.0030706668326486576
51,noch,73,0.0030291713349101623
52,um,73,0.0030291713349101623
53,wenn,69,0.0028631893439561807
54,and,68,0.0028216938462176855
55,benvolio,68,0.0028216938462176855
56,nacht,68,0.0028216938462176855
57,gräfin,66,0.0027387028507406944
58,da,65,0.002697207353002199
59,a,60,0.0024897298643097223
60,wo,60,0.0024897298643097223
61,wir,60,0.0024897298643097223
62,ja,60,0.0024897298643097223
63,für,60,0.0024897298643097223
64,ab,60,0.0024897298643097223
65,aus,59,0.002448234366571227
66,sein,59,0.002448234366571227
67,denn,59,0.002448234366571227
