Rank,Word,Count,Frequency
1,i,454,0.018397698261539086
2,nie,426,0.017263038456862667
3,w,423,0.01714146776350448
4,to,408,0.016533614296713538
5,się,396,0.016047331523280788
6,z,308,0.012481257851440613
7,romeo,278,0.011265550917858734
8,na,269,0.010900838837784171
9,o,248,0.010049843984276857
10,do,205,0.008307330712809499
11,co,192,0.0077805243749240185
12,a,192,0.0077805243749240185
13,the,185,0.007496859423754914
14,jak,167,0.006767435263605787
15,za,157,0.006362199619078494
16,julia,156,0.006321676054625765
17,mi,156,0.006321676054625765
18,tak,153,0.0062001053612675775
19,jest,137,0.005551728330023909
20,kapulet,130,0.005268063378854804
21,of,122,0.00494387486323297
22,marta,111,0.004498115654252948
23,że,110,0.004457592089800219
24,pani,92,0.003728167929651092
25,mię,89,0.0036065972362929045
26,jej,88,0.003566073671840175
27,tu,86,0.0034850265429347167
28,project,83,0.003363455849576529
29,już,82,0.0033229322851237994
30,ten,81,0.0032824087206710702
31,or,77,0.0031203144628601533
32,merkucio,77,0.0031203144628601533
33,benwolio,76,0.0030797908984074238
34,tego,76,0.0030797908984074238
35,you,74,0.0029987437695019655
36,po,68,0.00275560238278559
37,and,66,0.0026745552538801312
38,laurenty,65,0.002634031689427402
39,go,65,0.002634031689427402
40,bo,63,0.0025529845605219434
41,ja,62,0.0025124609960692143
42,mój,61,0.002471937431616485
43,in,60,0.0024314138671637556
44,ci,60,0.0024314138671637556
45,cię,59,0.0023908903027110265
46,on,57,0.002309843173805568
47,gutenberg™,56,0.0022693196093528387
48,tylko,55,0.0022287960449001096
49,czy,54,0.00218827248044738
50,mnie,54,0.00218827248044738
51,by,53,0.002147748915994651
52,od,52,0.0021072253515419218
53,jego,52,0.0021072253515419218
54,ją,52,0.0021072253515419218
55,tybalt,51,0.002066701787089192
56,gdzie,51,0.002066701787089192
57,ale,51,0.002066701787089192
58,wchodzi,51,0.002066701787089192
59,jeszcze,51,0.002066701787089192
60,ty,51,0.002066701787089192
61,sobie,50,0.002026178222636463
62,this,47,0.0019046075292782753
63,with,47,0.0019046075292782753
64,być,47,0.0019046075292782753
65,,46,0.001864083964825546
66,ma,46,0.001864083964825546
67,cóż,46,0.001864083964825546
68,work,45,0.0018235604003728168
69,tam,44,0.0017830368359200875
70,więc,44,0.0017830368359200875
71,tem,44,0.0017830368359200875
72,parys,43,0.0017425132714673584
73,lecz,41,0.0016614661425618997
74,dla,40,0.0016209425781091706
75,tej,38,0.0015398954492037119
76,nim,37,0.0014993718847509828
77,any,37,0.0014993718847509828
78,jeśli,36,0.0014588483202982534
79,ze,36,0.0014588483202982534
80,był,35,0.001418324755845524
81,ona,35,0.001418324755845524
82,panie,34,0.001377801191392795
83,śmierć,33,0.0013372776269400656
84,będzie,33,0.0013372776269400656
85,niż,33,0.0013372776269400656
86,moja,32,0.0012967540624873365
87,works,32,0.0012967540624873365
88,książę,31,0.0012562304980346072
89,monteki,31,0.0012562304980346072
